dataset,PPV,GMP,MPV,MIPV,LSPV,PPV_DIFF,GMP_DIFF,MPV_DIFF,MIPV_DIFF,LSPV_DIFF,PPV_MIX,GMP_MIX,MPV_MIX,MIPV_MIX,LSPV_MIX,BEST_PO_GT,BEST_OVERALL,BEST_PO_KF,PERFORMANCE,DIFF
Fish,0.97714275,0.9580952,0.975238,0.9588572,0.9754285,0.9820952,0.76133335,0.968,0.9657142,0.97904754,0.9799999,0.9558095,0.9784761,0.9672379,0.9805714,PPV_DIFF,0.9820952,PPV_DIFF,0.9820952,0.0
FordA,0.94482327,0.9084848,0.9408081,0.891894,0.9410859,0.9494192,0.9199496,0.94858587,0.9113132,0.94828284,0.94797975,0.91333324,0.9469192,0.9125,0.9507071,LSPV_MIX,0.9507071,LSPV_MIX,0.9507071,0.0
FordB,0.9203293,0.8853087,0.9154732,0.8523457,0.91744864,0.9230041,0.89658445,0.9217284,0.86823046,0.9225515,0.92448556,0.8812756,0.92037046,0.8703292,0.92720157,LSPV_MIX,0.92720157,LSPV_MIX,0.92720157,0.0
FreezerRegularTrain,0.99915785,0.99637413,0.9980818,0.9943742,0.9982923,0.9993684,0.92767256,0.99861985,0.9973099,0.99869,0.9993918,0.99550873,0.99915785,0.99666667,0.9985263,PPV_MIX,0.9993918,PPV_DIFF,0.9993684,2.340000000000675e-05
FreezerSmallTrain,0.9877544,0.9778245,0.987193,0.95984787,0.9934503,0.987193,0.8036374,0.98054975,0.9098011,0.9865965,0.9901754,0.9667252,0.9856375,0.94339174,0.99392986,LSPV_MIX,0.99392986,LSPV,0.9934503,0.0004795600000000455
GunPoint,0.99288887,0.9931112,0.99044454,0.9884444,0.9973334,0.9962223,0.96288884,0.99333346,0.9906667,0.9946667,0.9971112,0.99155563,0.9931111,0.992889,0.9984445,LSPV_MIX,0.9984445,LSPV_MIX,0.9984445,0.0
GunPointAgeSpan,0.9925106,0.9693038,0.99578065,0.98976797,0.996097,0.99356544,0.89071727,0.9891351,0.9876583,0.9921942,0.99356544,0.9550633,0.99556965,0.9916667,0.99757385,LSPV_MIX,0.99757385,LSPV_MIX,0.99757385,0.0
GunPointMaleVersusFemale,1,0.9922997,1,1,0.9998945,0.9994726,0.9779537,0.9918777,0.99525326,0.99556965,0.9998945,0.9922995,0.99831223,1,0.99968356,PPV,1,LSPV,0.9998945,0.00010549999999998061
GunPointOldVersusYoung,1,1,1,1,1,1,0.9961905,1,0.9978837,1,1,1,1,1,1,PPV,1,PPV,1.0,0.0
Ham,0.8492063,0.8447619,0.8390476,0.8520635,0.82095236,0.8311112,0.720635,0.8155556,0.8225397,0.76698416,0.8492063,0.82857144,0.8463493,0.84952384,0.8069842,MIPV,0.8520635,MIPV,0.8520635,0.0
HandOutlines,0.9377477,0.9399999,0.9318918,0.9409008,0.93639636,0.9327927,0.91054046,0.92675674,0.9427927,0.93189186,0.93981975,0.9356756,0.93801796,0.9448648,0.9418017,MIPV_MIX,0.9448648,MIPV_MIX,0.9448648,0.0
Haptics,0.5478355,0.48051947,0.5590909,0.5345238,0.5507576,0.4546537,0.33300868,0.46699136,0.48701295,0.4619047,0.50714284,0.47413418,0.524026,0.51872295,0.5258658,MPV,0.5590909,LSPV,0.5507576,0.008333299999999988
Herring,0.61302084,0.6109375,0.6020833,0.63958335,0.6088542,0.6088542,0.6015625,0.5984375,0.65052086,0.6171875,0.6046875,0.61927086,0.5984375,0.64947915,0.59479165,MIPV_DIFF,0.65052086,MIPV,0.63958335,0.010937509999999984
HouseTwenty,0.96526617,0.87254906,0.9638655,0.88907564,0.9044818,0.9739495,0.8134454,0.9647059,0.87310916,0.94621855,0.97058815,0.8731093,0.96554637,0.89103633,0.940056,PPV_DIFF,0.9739495,MPV_DIFF,0.9647059,0.009243600000000018
InlineSkate,0.4889697,0.4566666,0.48987877,0.44054538,0.47690913,0.46472722,0.42593938,0.50151515,0.3802424,0.40757576,0.5137575,0.5071515,0.52739394,0.43412113,0.47781816,MPV_MIX,0.52739394,GMP_MIX,0.5071515,0.020242439999999973
InsectEPGRegularTrain,1,0.99625164,1,0.99933064,1,0.9981258,0.947925,0.98955816,0.82878184,0.9939758,1,0.99384207,1,0.9973226,0.9994646,PPV,1,MPV,1.0,0.0
InsectEPGSmallTrain,0.9930388,0.99076295,0.9973227,0.9792503,0.9942436,0.96278447,0.8800535,0.9531459,0.7210174,0.9775101,0.98982596,0.98340017,0.99973226,0.9597054,0.9946452,MPV_MIX,0.99973226,LSPV,0.9942436,0.005488660000000034
InsectWingbeatSound,0.657559,0.61764306,0.6515992,0.6637542,0.6316162,0.6563805,0.5898653,0.6438383,0.66511786,0.6270539,0.6615992,0.6131313,0.6528282,0.6692761,0.6367677,MIPV_MIX,0.6692761,MIPV_DIFF,0.66511786,0.004158240000000091
ItalyPowerDemand,0.96090055,0.9542921,0.9614837,0.963395,0.95328796,0.96456116,0.95714283,0.9661808,0.9655653,0.95429224,0.9631357,0.95749915,0.9649822,0.96595407,0.95568526,MPV_DIFF,0.9661808,MIPV_MIX,0.96595407,0.0002267299999999528
LargeKitchenAppliances,0.90551114,0.83324444,0.9165333,0.82408893,0.90773326,0.8681778,0.73102224,0.8967111,0.7466667,0.8878222,0.9238222,0.8321779,0.92924446,0.8381334,0.9263111,MPV_MIX,0.92924446,MPV_MIX,0.92924446,0.0
Lightning2,0.7633879,0.66885245,0.77431685,0.7557377,0.73387975,0.7109289,0.54098356,0.73442626,0.6814207,0.6972678,0.74426234,0.6612022,0.7644808,0.75792354,0.7218579,MPV,0.77431685,PPV,0.7633879,0.010928949999999937
Lightning7,0.77853894,0.7301369,0.79908687,0.7351598,0.7534247,0.6744291,0.44155255,0.63333327,0.6707761,0.57808214,0.7936074,0.69634694,0.8031965,0.74018276,0.72831047,MPV_MIX,0.8031965,MPV,0.79908687,0.004109629999999975
Mallat,0.95572144,0.93383086,0.9533192,0.93822324,0.9299361,0.9392608,0.71725655,0.96595585,0.91978675,0.8966738,0.95702916,0.9359915,0.9636532,0.9380384,0.9199857,MPV_DIFF,0.96595585,MPV_MIX,0.9636532,0.0023026499999999617
Meat,0.9933333,0.96833336,0.995,0.99,0.97500014,0.9722223,0.82944447,0.97222227,0.9705556,0.93611103,0.9888889,0.9500001,0.9911111,0.9827778,0.9611112,MPV,0.995,MPV,0.995,0.0
MedicalImages,0.8036842,0.7155702,0.8017544,0.80083334,0.79495615,0.7517544,0.6326316,0.7477631,0.7514475,0.74385965,0.7993421,0.7129386,0.8007456,0.7975877,0.79495615,PPV,0.8036842,PPV,0.8036842,0.0
MiddlePhalanxOutlineAgeGroup,0.6515152,0.6207793,0.64350647,0.6515151,0.6554113,0.66212124,0.5961039,0.6647186,0.66580075,0.6541126,0.65865797,0.5891775,0.64978355,0.66255414,0.6569264,MIPV_DIFF,0.66580075,MIPV_DIFF,0.66580075,0.0
MiddlePhalanxOutlineCorrect,0.843299,0.8277205,0.8414662,0.83264595,0.84490263,0.84684986,0.81500566,0.8431845,0.84352803,0.8384879,0.8458191,0.8206185,0.84776634,0.84639174,0.84558994,MPV_MIX,0.84776634,MPV_MIX,0.84776634,0.0
MiddlePhalanxTW,0.5534632,0.5389611,0.55021644,0.5506494,0.5463203,0.5504329,0.5378788,0.5510823,0.56580085,0.55129874,0.55238086,0.537013,0.5487012,0.55952376,0.54848486,MIPV_DIFF,0.56580085,MIPV_DIFF,0.56580085,0.0
MixedShapesRegularTrain,0.9691958,0.95182127,0.96735394,0.9616496,0.96930593,0.9762612,0.93595874,0.97403437,0.95865285,0.9745705,0.97601384,0.95802057,0.974598,0.964701,0.97598624,PPV_DIFF,0.9762612,PPV_DIFF,0.9762612,0.0
MixedShapesSmallTrain,0.9417457,0.91043293,0.9361374,0.92573184,0.94255674,0.9485224,0.891299,0.94321644,0.9196564,0.9461581,0.9499107,0.91722333,0.944,0.9289209,0.9495533,PPV_MIX,0.9499107,PPV_DIFF,0.9485224,0.001388300000000009
MoteStrain,0.91400427,0.8571618,0.89976037,0.88746,0.88865817,0.8860491,0.6490682,0.75239617,0.85835993,0.81908953,0.9158147,0.85276896,0.8947285,0.88974965,0.8805911,PPV_MIX,0.9158147,PPV,0.91400427,0.0018104300000000295
NonInvasiveFetalECGThorax1,0.95187443,0.93543684,0.953486,0.9494826,0.9393892,0.9304495,0.8911281,0.93850714,0.9204071,0.9256828,0.95535207,0.9315353,0.9620525,0.9482442,0.95426637,MPV_MIX,0.9620525,MPV_MIX,0.9620525,0.0
NonInvasiveFetalECGThorax2,0.9634266,0.94961834,0.9638507,0.9621204,0.95158607,0.94171333,0.89128083,0.9446481,0.9288889,0.9263953,0.9662596,0.93470734,0.9667854,0.95911777,0.95794743,MPV_MIX,0.9667854,PPV_MIX,0.9662596,0.0005258000000000207
OliveOil,0.9133333,0.8833332,0.9133333,0.89777774,0.9088889,0.8988888,0.81555545,0.88555557,0.8977777,0.8655555,0.9088888,0.8844443,0.9077777,0.8999999,0.91555554,LSPV_MIX,0.91555554,PPV,0.9133333,0.002222239999999931
OSULeaf,0.95688707,0.89476585,0.9387052,0.74118453,0.93705237,0.96487606,0.9199725,0.9466942,0.7482093,0.93911844,0.96831965,0.92865014,0.9581267,0.7677686,0.9549587,PPV_MIX,0.96831965,PPV_MIX,0.96831965,0.0
PhalangesOutlinesCorrect,0.84421134,0.81930846,0.84382284,0.84339553,0.8444834,0.8424631,0.8144911,0.8407537,0.84378403,0.8366745,0.85384613,0.83150744,0.8492618,0.85069925,0.84906757,PPV_MIX,0.85384613,PPV_MIX,0.85384613,0.0
Phoneme,0.29186004,0.20562588,0.27290788,0.26297468,0.3261076,0.32913154,0.21216597,0.2795886,0.28414205,0.33463433,0.3299754,0.22167724,0.2920007,0.29651898,0.35685655,LSPV_MIX,0.35685655,LSPV_MIX,0.35685655,0.0
PigAirwayPressure,0.8738782,0.4133013,0.80576926,0.18429488,0.9512821,0.3963141,0.58750004,0.4602564,0.07660257,0.84278846,0.7915064,0.60144234,0.73269236,0.14326924,0.94967955,LSPV,0.9512821,LSPV_MIX,0.94967955,0.0016025499999999804
PigArtPressure,0.9607372,0.6044872,0.94535255,0.46169868,0.95625,0.93637824,0.6163462,0.88990396,0.38173077,0.9504808,0.95993584,0.61891025,0.94006413,0.44631413,0.96217954,LSPV_MIX,0.96217954,LSPV_MIX,0.96217954,0.0
PigCVP,0.91923076,0.32131413,0.7625,0.25560898,0.90544873,0.7671474,0.08157051,0.37419873,0.09919871,0.8415064,0.9126603,0.32259613,0.7684295,0.22692308,0.907532,PPV,0.91923076,LSPV_MIX,0.907532,0.01169876000000003
Plane,1,1,1,1,0.99968255,1,0.9987301,1,0.9993651,1,1,1,1,1,1,PPV,1,PPV_DIFF,1.0,0.0
PowerCons,0.9825926,0.9564814,0.9798147,0.9831482,0.9694445,0.925,0.8733334,0.93425924,0.91555554,0.9020371,0.9809259,0.9475925,0.97314817,0.9775926,0.9646297,MIPV,0.9831482,MIPV,0.9831482,0.0
ProximalPhalanxOutlineAgeGroup,0.8458536,0.8434146,0.8491056,0.8484552,0.8437398,0.84878045,0.8360975,0.8482926,0.84894305,0.84569097,0.84813,0.83886164,0.85056895,0.8455283,0.8450406,MPV_MIX,0.85056895,MIPV_DIFF,0.84894305,0.001625899999999958
ProximalPhalanxOutlineCorrect,0.89312714,0.8865979,0.89656365,0.88946164,0.8983963,0.9109965,0.87743413,0.9054983,0.90469646,0.90400904,0.90801823,0.88831615,0.9058419,0.9045819,0.90710187,PPV_DIFF,0.9109965,MPV_MIX,0.9058419,0.005154600000000009
ProximalPhalanxTW,0.8066666,0.7944716,0.804065,0.8078049,0.7957723,0.8003253,0.7881299,0.8030894,0.8107316,0.79528445,0.800813,0.79219514,0.8,0.80569094,0.79333323,MIPV_DIFF,0.8107316,MIPV_DIFF,0.8107316,0.0
RefrigerationDevices,0.70604444,0.61946666,0.7154667,0.63039994,0.73386663,0.7280888,0.5260445,0.6722667,0.50266665,0.7167111,0.7490666,0.62106675,0.7303111,0.6132445,0.75582224,LSPV_MIX,0.75582224,LSPV_MIX,0.75582224,0.0
Rock,0.8173333,0.8046667,0.7866667,0.79600006,0.84799993,0.8446666,0.79533327,0.8219999,0.8733333,0.83799994,0.8446666,0.8386666,0.82933325,0.86133325,0.85933334,MIPV_DIFF,0.8733333,LSPV_MIX,0.85933334,0.013999960000000033
ScreenType,0.57671106,0.46319997,0.5678223,0.58791107,0.59048885,0.6361777,0.4367111,0.5904,0.59839994,0.59342223,0.6288,0.46195558,0.5939556,0.60933334,0.6249778,PPV_DIFF,0.6361777,PPV_DIFF,0.6361777,0.0
SemgHandGenderCh2,0.90927786,0.8210556,0.9112222,0.9523888,0.9355555,0.7742778,0.78416663,0.8401667,0.87183344,0.8103889,0.9017222,0.82961106,0.9036667,0.94338894,0.92966664,MIPV,0.9523888,MIPV,0.9523888,0.0
SemgHandMovementCh2,0.6768148,0.50429624,0.7054074,0.7922963,0.70399994,0.49881476,0.44681484,0.5534075,0.62918526,0.5898518,0.6463705,0.5115556,0.6920001,0.7763703,0.690889,MIPV,0.7922963,MIPV,0.7922963,0.0
SemgHandSubjectCh2,0.8777778,0.71385187,0.8711852,0.93103707,0.9034814,0.6774074,0.51577777,0.7065925,0.77962965,0.7000741,0.85725933,0.69651854,0.8659259,0.91792583,0.8914074,MIPV,0.93103707,MIPV,0.93103707,0.0
ShapeletSim,0.99944437,0.5687037,0.9907408,0.5085185,1,0.9937037,0.6937038,0.9483334,0.5322222,1,0.99703705,0.6927778,0.97814816,0.52425927,1,LSPV,1,LSPV,1.0,0.0
ShapesAll,0.9356111,0.8822778,0.92399997,0.8996112,0.93622226,0.9131667,0.8312223,0.8986111,0.8485555,0.9118334,0.9427222,0.8879444,0.93516666,0.89677775,0.94088894,PPV_MIX,0.9427222,LSPV_MIX,0.94088894,0.0018332599999999477
SmallKitchenAppliances,0.81173337,0.66657776,0.8184001,0.80151117,0.82595557,0.81671107,0.6367111,0.8191111,0.76586664,0.8047112,0.8284445,0.65715563,0.8277333,0.80568886,0.82462215,PPV_MIX,0.8284445,LSPV,0.82595557,0.002488930000000056
SmoothSubspace,0.9586668,0.79511106,0.94777775,0.9624445,0.91644436,0.8851111,0.58911115,0.8444444,0.90888876,0.81666666,0.97177774,0.8411111,0.9737779,0.9731111,0.94,MPV_MIX,0.9737779,MIPV_MIX,0.9731111,0.0006667999999999674
SonyAIBORobotSurface1,0.9485856,0.95119244,0.9567943,0.8737105,0.9265112,0.9402107,0.93444264,0.94181925,0.90238494,0.9265114,0.9574043,0.95546305,0.96073216,0.8901829,0.93921226,MPV_MIX,0.96073216,GMP_MIX,0.95546305,0.005269109999999966
SonyAIBORobotSurface2,0.94200766,0.9115075,0.9427772,0.8664219,0.93011546,0.9566981,0.9273173,0.95313054,0.87520117,0.9360965,0.9597412,0.9303952,0.9536552,0.87548095,0.94011897,PPV_MIX,0.9597412,PPV_DIFF,0.9566981,0.0030430999999999653
StarLightCurves,0.98118424,0.9698032,0.97945595,0.979367,0.9800065,0.98008746,0.9556864,0.9785332,0.9796746,0.97933465,0.9815849,0.9714344,0.9804274,0.98062974,0.9804275,PPV_MIX,0.9815849,PPV_MIX,0.9815849,0.0
Strawberry,0.97981983,0.9734234,0.97855854,0.9734234,0.97819823,0.9800901,0.9689189,0.97900903,0.9759459,0.9746847,0.98072076,0.971982,0.9796397,0.97720724,0.9783784,PPV_MIX,0.98072076,PPV_MIX,0.98072076,0.0
SwedishLeaf,0.9623466,0.9283733,0.96064,0.96063995,0.95712,0.9636267,0.88421327,0.95423996,0.95370674,0.95530665,0.97338676,0.94133323,0.9709333,0.9664534,0.96485335,PPV_MIX,0.97338676,PPV_MIX,0.97338676,0.0
Symbols,0.96633166,0.9284422,0.9654606,0.95453924,0.9618091,0.9773869,0.87842554,0.9536684,0.939129,0.97463983,0.9761808,0.921139,0.9641541,0.9531993,0.97256273,PPV_DIFF,0.9773869,PPV_MIX,0.9761808,0.0012060999999999877
SyntheticControl,0.9906667,0.99066657,0.9919999,0.9801112,0.9925556,0.71988887,0.6041111,0.68944436,0.76222223,0.7225555,0.99166673,0.98955554,0.99344444,0.97722226,0.9905555,MPV_MIX,0.99344444,MPV_MIX,0.99344444,0.0
ToeSegmentation1,0.9415204,0.8945906,0.9323099,0.6804093,0.9402046,0.90789473,0.82134503,0.90380114,0.6185673,0.9092105,0.9385964,0.8951754,0.93099415,0.6577486,0.93377185,PPV,0.9415204,LSPV,0.9402046,0.0013158000000000891
ToeSegmentation2,0.9415384,0.92999995,0.9405128,0.8430768,0.9484615,0.9123076,0.80384606,0.89820504,0.71512824,0.92897433,0.9484615,0.921282,0.9369231,0.8058973,0.94384605,LSPV,0.9484615,MPV,0.9405128,0.00794869999999992
Trace,1,1,1,1,1,1,0.9883333,0.99766666,0.9976666,1,1,1,1,1,1,PPV,1,PPV,1.0,0.0
TwoLeadECG,0.99721974,0.9966637,0.99827325,0.9930347,0.99733675,0.9951419,0.998127,0.9974832,0.9917179,0.99669296,0.9972782,0.997132,0.99836105,0.99417615,0.99686855,MPV_MIX,0.99836105,GMP_DIFF,0.998127,0.00023404999999998566
TwoPatterns,0.99517506,0.99965006,0.99999166,0.9988833,0.9993583,0.7979833,0.8741666,0.9303333,0.8767417,0.9221917,0.989625,0.99942505,0.9999667,0.9972418,0.99856675,MPV,0.99999166,MPV,0.99999166,0.0
UMD,0.9907407,0.9381944,0.98773134,0.9108795,0.84212965,0.98935187,0.9263889,0.9854166,0.9115741,0.9027778,0.9916666,0.93819433,0.9872685,0.92037034,0.88379633,PPV_MIX,0.9916666,PPV_MIX,0.9916666,0.0
UWaveGestureLibraryAll,0.9751628,0.9631119,0.97493947,0.98185366,0.9749302,0.96512187,0.66524285,0.9596222,0.9667598,0.93415236,0.98064405,0.9629815,0.977387,0.98291457,0.97366464,MIPV_MIX,0.98291457,MIPV_MIX,0.98291457,0.0
UWaveGestureLibraryX,0.8573887,0.8017309,0.8499441,0.8495999,0.8508468,0.8343385,0.7337707,0.8113903,0.8107296,0.81293505,0.864666,0.8095849,0.8566444,0.85603946,0.85614175,PPV_MIX,0.864666,PPV_MIX,0.864666,0.0
UWaveGestureLibraryY,0.7875396,0.7234319,0.78302616,0.7772101,0.7809418,0.7419318,0.6003629,0.70548123,0.72926676,0.7175509,0.80030704,0.72949004,0.78930765,0.7864508,0.7919785,PPV_MIX,0.80030704,PPV_MIX,0.80030704,0.0
UWaveGestureLibraryZ,0.8012377,0.7339289,0.79488176,0.7870277,0.7956635,0.76635015,0.6363763,0.7278802,0.7476456,0.7449563,0.80918485,0.73423594,0.7983529,0.79420257,0.8024009,PPV_MIX,0.80918485,PPV_MIX,0.80918485,0.0
Wafer,0.99895096,0.9977883,0.9987888,0.998037,0.99830204,0.99996215,0.995544,0.99960524,0.9996215,0.9992754,0.99979454,0.9983074,0.99948627,0.9995404,0.99928623,PPV_DIFF,0.99996215,PPV_DIFF,0.99996215,0.0
Wine,0.9277779,0.9030865,0.9308643,0.91604954,0.8962964,0.90987664,0.87407416,0.89074075,0.8709878,0.862963,0.925926,0.91913587,0.9246914,0.9061729,0.89135814,MPV,0.9308643,GMP_MIX,0.91913587,0.011728430000000012
WordSynonyms,0.76483804,0.658464,0.7611807,0.760815,0.7438872,0.73171365,0.52371997,0.6844305,0.7157262,0.68861026,0.7739289,0.65590394,0.7609196,0.75992686,0.7417451,PPV_MIX,0.7739289,PPV_MIX,0.7739289,0.0
Worms,0.73333335,0.6701299,0.7372294,0.65627706,0.73636365,0.7077923,0.59437233,0.70952386,0.54458874,0.72207797,0.74112564,0.6727273,0.7476191,0.6277056,0.7489177,LSPV_MIX,0.7489177,PPV_MIX,0.74112564,0.0077920599999999896
WormsTwoClass,0.79523814,0.769264,0.79826844,0.72294366,0.8069265,0.7688312,0.7103895,0.7839827,0.64112556,0.77272725,0.78138524,0.76147175,0.80562776,0.70995677,0.7948053,LSPV,0.8069265,PPV_MIX,0.78138524,0.02554126000000001
Yoga,0.91867787,0.8835667,0.91158885,0.91639996,0.9019555,0.9227,0.74396664,0.8912888,0.8898,0.8765555,0.9329999,0.8669332,0.9222,0.9154001,0.90736663,PPV_MIX,0.9329999,PPV_MIX,0.9329999,0.0
